STOP_ID,STOP_NAME,latitude,longitude,TICKETZONE,ROUTEUSSP,geometry,
19934,Eaglemont Railway Station (Eaglemont),-37.763586,145.053943,"1,2",Hurstbridge,c(2504753.32323965, 2415264.03168404)
19935,Heidelberg Railway Station (Heidelberg),-37.757073,145.060686,"1,2",Hurstbridge,c(2505347.91096072, 2415986.52122154)
19936,Rosanna Railway Station (Rosanna),-37.742879,145.06614,2,Hurstbridge,c(2505829.58845722, 2417561.51156212)
19937,Moorabbin Railway Station (Moorabbin),-37.934353,145.036738,2,Frankston,c(2503230.12794696, 2396311.50750447)
19938,Patterson Railway Station (Bentleigh),-37.925149,145.03547,2,Frankston,c(2503119.04715467, 2397333.1312989)
19939,Bentleigh Railway Station (Bentleigh),-37.917425,145.036995,"1,2",Frankston,c(2503253.45449621, 2398190.38350569)
19940,McKinnon Railway Station (Mckinnon),-37.910309,145.038299,"1,2",Frankston,c(2503368.42438411, 2398980.15093102)
19941,Ormond Railway Station (Ormond),-37.903212,145.039613,"1,2",Frankston,c(2503484.30152153, 2399767.81615339)
19942,Glenhuntly Railway Station (Glen Huntly),-37.889719,145.042223,1,Frankston,c(2503714.50318799, 2401265.31935381)
19943,Caulfield Railway Station (Caulfield East),-37.877459,145.042525,1,"Frankston,Pakenham,Cranbourne",c(2503741.67897192, 2402626.04954707)
19944,Malvern Railway Station (Malvern),-37.866253,145.029294,1,Frankston,c(2502578.05331575, 2403870.25153997)
19945,Armadale Railway Station (Armadale),-37.856452,145.019326,1,Frankston,c(2501701.20248688, 2404958.28364002)
19946,Toorak Railway Station (Armadale),-37.850774,145.013909,1,Frankston,c(2501224.60666277, 2405588.55427305)
19947,Hawksburn Railway Station (South Yarra),-37.844591,145.002142,1,Frankston,c(2500189.05392805, 2406274.88572874)
19948,Sandringham Railway Station (Sandringham),-37.95033,145.004561,2,Sandringham,c(2500401.38085899, 2394538.78066695)
19949,Hampton Railway Station (Hampton),-37.937977,145.001471,2,Sandringham,c(2500129.83154641, 2395909.88751315)
19950,Brighton Beach Railway Station (Brighton),-37.926484,144.989154,"1,2",Sandringham,c(2499046.9597839, 2397185.47668619)
19951,Middle Brighton Railway Station (Brighton),-37.915134,144.996299,"1,2",Sandringham,c(2499675.07931312, 2398445.2873005)
19952,North Brighton Railway Station (Brighton),-37.904887,145.002605,"1,2",Sandringham,c(2500229.6166069, 2399582.62853307)
19953,Gardenvale Railway Station (Brighton),-37.896695,145.004168,1,Sandringham,c(2500367.12256624, 2400491.86305531)
19954,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898,1,Sandringham,c(2500079.50815879, 2401817.32540257)
19955,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,1,Sandringham,c(2499581.47896739, 2402799.24752675)
19956,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1,Sandringham,c(2499429.69107347, 2403511.57154842)
19957,Windsor Railway Station (Windsor),-37.856053,144.992035,1,Sandringham,c(2499299.60620985, 2405002.70867893)
19958,Prahran Railway Station (Prahran),-37.849518,144.98986,1,Sandringham,c(2499108.11787802, 2405728.00305326)
19959,South Yarra Railway Station (South Yarra),-37.838449,144.992342,1,"Frankston,Pakenham,Sandringham,Cranbourne",c(2499326.47246201, 2406956.55808153)
19960,Upfield Railway Station (Coolaroo),-37.666078,144.94674,2,Upfield,c(2495301.82322105, 2426085.77807558)
19961,Gowrie Railway Station (Glenroy),-37.700678,144.958874,2,Upfield,c(2496373.97833304, 2422246.35362319)
19962,Fawkner Railway Station (Fawkner),-37.714621,144.960545,"1,2",Upfield,c(2496521.9811526, 2420698.98902003)
19963,Merlynston Railway Station (Coburg North),-37.720934,144.961314,"1,2",Upfield,c(2496590.06124849, 2419998.37594082)
19964,Batman Railway Station (Coburg North),-37.733523,144.962841,"1,2",Upfield,c(2496725.20220468, 2418601.25784336)
19965,Coburg Railway Station (Coburg),-37.742345,144.963336,1,Upfield,c(2496769.20998503, 2417622.1776863)
19966,Moreland Railway Station (Coburg),-37.754485,144.961823,1,Upfield,c(2496636.42977912, 2416274.77499529)
19967,Anstey Railway Station (Brunswick),-37.761242,144.960684,1,Upfield,c(2496536.36865965, 2415524.8083162)
19968,Brunswick Railway Station (Brunswick),-37.767721,144.959587,1,Upfield,c(2496439.99156758, 2414805.70494034)
19969,Jewell Railway Station (Brunswick),-37.774987,144.958717,1,Upfield,c(2496363.71245841, 2413999.24620435)
